ID,title,authors,published,updated,abstract,categories,citations,arxiv_url,gscholar_url,journal
0,Dynamic Graph CNN for Learning on Point Clouds,"['Yue Wang', 'Sanjay E. Sarma', 'Justin M. Solomon', 'Yongbin Sun', 'Ziwei Liu', 'Michael M. Bronstein']",2018-01-24T01:14:04Z,2019-06-11T06:11:21Z,"Point clouds provide a flexible geometric representation suitable forcountless applications in computer graphics; they also comprise the raw outputof most 3D data acquisition devices. While hand-designed features on pointclouds have long been proposed in graphics and vision, however, the recentoverwhelming success of convolutional neural networks (CNNs) for image analysissuggests the value of adapting insight from CNN to the point cloud world. Pointclouds inherently lack topological information so designing a model to recovertopology can enrich the representation power of point clouds. To this end, wepropose a new neural network module dubbed EdgeConv suitable for CNN-basedhigh-level tasks on point clouds including classification and segmentation.EdgeConv acts on graphs dynamically computed in each layer of the network. Itis differentiable and can be plugged into existing architectures. Compared toexisting modules operating in extrinsic space or treating each pointindependently, EdgeConv has several appealing properties: It incorporates localneighborhood information; it can be stacked applied to learn global shapeproperties; and in multi-layer systems affinity in feature space capturessemantic characteristics over potentially long distances in the originalembedding. We show the performance of our model on standard benchmarksincluding ModelNet40, ShapeNetPart, and S3DIS.",['cs.CV'],536,http://arxiv.org/abs/1801.07829v2,http://scholar.google.com/scholar?oi=bibs&cluster=335276923828215991&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 38 (5), 1-12"
1,Looking to Listen at the Cocktail Party: A Speaker-Independent  Audio-Visual Model for Speech Separation,"['Avinatan Hassidim', 'Oran Lang', 'Michael Rubinstein', 'Inbar Mosseri', 'Ariel Ephrat', 'William T. Freeman', 'Kevin Wilson', 'Tali Dekel']",2018-04-10T16:28:59Z,2018-08-09T21:22:37Z,"We present a joint audio-visual model for isolating a single speech signalfrom a mixture of sounds such as other speakers and background noise. Solvingthis task using only audio as input is extremely challenging and does notprovide an association of the separated speech signals with speakers in thevideo. In this paper, we present a deep network-based model that incorporatesboth visual and auditory signals to solve this task. The visual features areused to ""focus"" the audio on desired speakers in a scene and to improve thespeech separation quality. To train our joint audio-visual model, we introduceAVSpeech, a new dataset comprised of thousands of hours of video segments fromthe Web. We demonstrate the applicability of our method to classic speechseparation tasks, as well as real-world scenarios involving heated interviews,noisy bars, and screaming children, only requiring the user to specify the faceof the person in the video whose speech they want to isolate. Our method showsclear advantage over state-of-the-art audio-only speech separation in cases ofmixed speech. In addition, our model, which is speaker-independent (trainedonce, applicable to any speaker), produces better results than recentaudio-visual speech separation methods that are speaker-dependent (requiretraining a separate model for each speaker of interest).","['cs.SD', 'cs.CV', 'eess.AS']",189,http://arxiv.org/abs/1804.03619v2,http://scholar.google.com/scholar?oi=bibs&cluster=11646994797171867166&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 37 (4), 1-11"
2,Convergence of univariate non-stationary subdivision schemes via  asymptotical similarity,"['Carla Manni', 'Costanza Conti', 'Marie-Laurence Mazure', 'Nira Dyn']",2014-10-10T10:30:14Z,2014-10-10T10:30:14Z,"A new equivalence notion between non-stationary subdivision schemes, termedasymptotical similarity, which is weaker than asymptotical equivalence, isintroduced and studied. It is known that asymptotical equivalence between anon-stationary subdivision scheme and a convergent stationary scheme guaranteesthe convergence of the non-stationary scheme. We show that for non-stationaryschemes reproducing constants, the condition of asymptotical equivalence can berelaxed to asymptotical similarity. This result applies to a wide class ofnon-stationary schemes of importance in theory and applications.",['math.NA'],34,http://arxiv.org/abs/1410.2729v1,http://scholar.google.com/scholar?oi=bibs&cluster=6429709954009202595&btnI=1&nossl=1&hl=en&oe=ASCII,"Computer Aided Geometric Design 37, 1-8"
3,HDR image reconstruction from a single exposure using deep CNNs,"['Joel Kronander', 'Rafał K. Mantiuk', 'Gyorgy Denes', 'Jonas Unger', 'Gabriel Eilertsen']",2017-10-20T10:48:22Z,2017-10-20T10:48:22Z,"Camera sensors can only capture a limited range of luminance simultaneously,and in order to create high dynamic range (HDR) images a set of differentexposures are typically combined. In this paper we address the problem ofpredicting information that have been lost in saturated image areas, in orderto enable HDR reconstruction from a single exposure. We show that this problemis well-suited for deep learning algorithms, and propose a deep convolutionalneural network (CNN) that is specifically designed taking into account thechallenges in predicting HDR values. To train the CNN we gather a large datasetof HDR images, which we augment by simulating sensor saturation for a range ofcameras. To further boost robustness, we pre-train the CNN on a simulated HDRdataset created from a subset of the MIT Places database. We demonstrate thatour approach can reconstruct high-resolution visually convincing HDR results ina wide range of situations, and that it generalizes well to reconstruction ofimages captured with arbitrary and low-end cameras that use unknown cameraresponse functions and post-processing. Furthermore, we compare to existingmethods for HDR expansion, and show high quality results also for image basedlighting. Finally, we evaluate the results in a subjective experiment performedon an HDR display. This shows that the reconstructed HDR images are visuallyconvincing, with large improvements as compared to existing methods.","['cs.CV', 'cs.GR', 'cs.LG']",145,http://arxiv.org/abs/1710.07480v1,http://scholar.google.com/scholar?oi=bibs&cluster=3967051386974868046&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 36 (6), 1-15"
4,Learning Style Similarity for Searching Infographics,"['Aaron Hertzmann', 'Mira Dontcheva', 'Babak Saleh', 'Zhicheng Liu']",2015-05-05T22:59:32Z,2015-05-05T22:59:32Z,"Infographics are complex graphic designs integrating text, images, charts andsketches. Despite the increasing popularity of infographics and the rapidgrowth of online design portfolios, little research investigates how we cantake advantage of these design resources. In this paper we present a method formeasuring the style similarity between infographics. Based on human perceptiondata collected from crowdsourced experiments, we use computer vision andmachine learning algorithms to learn a style similarity metric for infographicdesigns. We evaluate different visual features and learning algorithms and findthat a combination of color histograms and Histograms-of-Gradients (HoG)features is most effective in characterizing the style of infographics. Wedemonstrate our similarity metric on a preliminary image retrieval test.","['cs.GR', 'cs.CV', 'cs.HC', 'cs.IR', 'cs.MM']",24,http://arxiv.org/abs/1505.01214v1,http://scholar.google.com/scholar?oi=bibs&cluster=13370213878445554393&btnI=1&nossl=1&hl=en&oe=ASCII,"Proceedings of the 41st Graphics Interface Conference, 59-64"
5,Automatic Photo Adjustment Using Deep Neural Networks,"['Yizhou Yu', 'Hao Zhang', 'Baoyuan Wang', 'Zhicheng Yan', 'Sylvain Paris']",2014-12-24T17:51:17Z,2015-05-16T03:49:35Z,"Photo retouching enables photographers to invoke dramatic visual impressionsby artistically enhancing their photos through stylistic color and toneadjustments. However, it is also a time-consuming and challenging task thatrequires advanced skills beyond the abilities of casual photographers. Using anautomated algorithm is an appealing alternative to manual work but such analgorithm faces many hurdles. Many photographic styles rely on subtleadjustments that depend on the image content and even its semantics. Further,these adjustments are often spatially varying. Because of thesecharacteristics, existing automatic algorithms are still limited and cover onlya subset of these challenges. Recently, deep machine learning has shown uniqueabilities to address hard problems that resisted machine algorithms for long.This motivated us to explore the use of deep learning in the context of photoediting. In this paper, we explain how to formulate the automatic photoadjustment problem in a way suitable for this approach. We also introduce animage descriptor that accounts for the local semantics of an image. Ourexperiments demonstrate that our deep learning formulation applied using thesedescriptors successfully capture sophisticated photographic styles. Inparticular and unlike previous techniques, it can model local adjustments thatdepend on the image semantics. We show on several examples that this yieldsresults that are qualitatively and quantitatively better than previous work.","['cs.CV', 'cs.GR', 'cs.LG', 'eess.IV']",154,http://arxiv.org/abs/1412.7725v2,http://scholar.google.com/scholar?oi=bibs&cluster=7788777017613081738&btnI=1&nossl=1&hl=en&oe=ASCII,"ACM Transactions on Graphics (TOG) 35 (2), 1-15"
6,Latent-space Physics: Towards Learning the Temporal Evolution of Fluid  Flow,"['Steffen Wiewel', 'Nils Thuerey', 'Moritz Becher']",2018-02-27T19:18:43Z,2019-03-05T09:58:44Z,"We propose a method for the data-driven inference of temporal evolutions ofphysical functions with deep learning. More specifically, we target fluidflows, i.e. Navier-Stokes problems, and we propose a novel LSTM-based approachto predict the changes of pressure fields over time. The central challenge inthis context is the high dimensionality of Eulerian space-time data sets. Wedemonstrate for the first time that dense 3D+time functions of physics systemcan be predicted within the latent spaces of neural networks, and we arrive ata neural-network based simulation algorithm with significant practicalspeed-ups. We highlight the capabilities of our method with a series of complexliquid simulations, and with a set of single-phase buoyancy simulations. With aset of trained networks, our method is more than two orders of magnitudesfaster than a traditional pressure solver. Additionally, we present and discussa series of detailed evaluations for the different components of our algorithm.","['cs.LG', 'cs.GR']",58,http://arxiv.org/abs/1802.10123v3,http://scholar.google.com/scholar?oi=bibs&cluster=11807274886813048961&btnI=1&nossl=1&hl=en&oe=ASCII,"Computer Graphics Forum 38 (2), 71-82"
7,Complexity of hierarchical refinement for a class of admissible mesh  configurations,"['Philipp Morgenstern', 'Carlotta Giannelli', 'Daniel Peterseim', 'Annalisa Buffa']",2015-09-18T09:59:14Z,2015-09-18T09:59:14Z,"An adaptive isogeometric method based on $d$-variate hierarchical splineconstructions can be derived by considering a refine module that preserves acertain class of admissibility between two consecutive steps of the adaptiveloop [6]. In this paper we provide a complexity estimate, i.e., an estimate onhow the number of mesh elements grows with respect to the number of elementsthat are marked for refinement by the adaptive strategy. Our estimate is in theline of the similar ones proved in the finite element context, [3,24].",['math.NA'],22,http://arxiv.org/abs/1509.05566v1,http://scholar.google.com/scholar?oi=bibs&cluster=8284531875455370376&btnI=1&nossl=1&hl=en&oe=ASCII,"Computer Aided Geometric Design 47, 83-92"
8,A Workflow for Visual Diagnostics of Binary Classifiers using  Instance-Level Explanations,"['Josua Krause', 'Jordan Swartz', 'Enrico Bertini', 'Yindalon Aphinyanaphongs', 'Aritra Dasgupta']",2017-05-04T18:24:38Z,2017-10-01T22:24:17Z,"Human-in-the-loop data analysis applications necessitate greater transparencyin machine learning models for experts to understand and trust their decisions.To this end, we propose a visual analytics workflow to help data scientists anddomain experts explore, diagnose, and understand the decisions made by a binaryclassifier. The approach leverages ""instance-level explanations"", measures oflocal feature relevance that explain single instances, and uses them to build aset of visual representations that guide the users in their investigation. Theworkflow is based on three main visual representations and steps: one based onaggregate statistics to see how data distributes across correct / incorrectdecisions; one based on explanations to understand which features are used tomake these decisions; and one based on raw data, to derive insights onpotential root causes for the observed patterns. The workflow is derived from along-term collaboration with a group of machine learning and healthcareprofessionals who used our method to make sense of machine learning models theydeveloped. The case study from this collaboration demonstrates that theproposed workflow helps experts derive useful knowledge about the model and thephenomena it describes, thus experts can generate useful hypotheses on how amodel can be improved.","['stat.ML', 'cs.AI']",44,http://arxiv.org/abs/1705.01968v3,http://scholar.google.com/scholar?oi=bibs&cluster=8112720882727079109&btnI=1&nossl=1&hl=en&oe=ASCII,"2017 IEEE Conference on Visual Analytics Science and Technology (VAST), 162-172"
9,Do Convolutional Neural Networks Learn Class Hierarchy?,"['Bilal Alsallakh', 'Liu Ren', 'Xiaoming Liu', 'Mao Ye', 'Amin Jourabloo']",2017-10-17T21:02:59Z,2017-10-17T21:02:59Z,"Convolutional Neural Networks (CNNs) currently achieve state-of-the-artaccuracy in image classification. With a growing number of classes, theaccuracy usually drops as the possibilities of confusion increase.Interestingly, the class confusion patterns follow a hierarchical structureover the classes. We present visual-analytics methods to reveal and analyzethis hierarchy of similar classes in relation with CNN-internal data. We foundthat this hierarchy not only dictates the confusion patterns between theclasses, it furthermore dictates the learning behavior of CNNs. In particular,the early layers in these networks develop feature detectors that can separatehigh-level groups of classes quite well, even after a few training epochs. Incontrast, the latter layers require substantially more epochs to developspecialized feature detectors that can separate individual classes. Wedemonstrate how these insights are key to significant improvement in accuracyby designing hierarchy-aware CNNs that accelerate model convergence andalleviate overfitting. We further demonstrate how our methods help inidentifying various quality issues in the training data.","['cs.CV', 'I.4; I.5']",85,http://arxiv.org/abs/1710.06501v1,http://scholar.google.com/scholar?oi=bibs&cluster=2268614162512437100&btnI=1&nossl=1&hl=en&oe=ASCII,"IEEE Transactions on Visualization and Computer Graphics 24 (1), 152-162"
