ID,title,authors,published,updated,abstract,categories,citations,arxiv_url,gscholar_url,journal
0,Multi-Source Neural Translation,"['Barret Zoph', 'Kevin Knight']",2016-01-05T00:49:22Z,2016-01-05T00:49:22Z,"We build a multi-source machine translation model and train it to maximizethe probability of a target English string given French and German sources.Using the neural encoder-decoder framework, we explore several combinationmethods and report up to +4.8 Bleu increases on top of a very strongattention-based neural translation model.",['cs.CL'],195,http://arxiv.org/abs/1601.00710v1,http://scholar.google.com/scholar?oi=bibs&cluster=9798500345837394101&btnI=1&nossl=1&hl=en&oe=ASCII,"HLT-NAACL, 30-34"
1,Deep Communicating Agents for Abstractive Summarization,"['Xiaodong He', 'Asli Celikyilmaz', 'Antoine Bosselut', 'Yejin Choi']",2018-03-27T23:29:23Z,2018-08-15T18:54:22Z,"We present deep communicating agents in an encoder-decoder architecture toaddress the challenges of representing a long document for abstractivesummarization. With deep communicating agents, the task of encoding a long textis divided across multiple collaborating agents, each in charge of a subsectionof the input text. These encoders are connected to a single decoder, trainedend-to-end using reinforcement learning to generate a focused and coherentsummary. Empirical results demonstrate that multiple communicating encoderslead to a higher quality summary compared to several strong baselines,including those based on a single encoder or multiple non-communicatingencoders.",['cs.CL'],146,http://arxiv.org/abs/1803.10357v3,http://scholar.google.com/scholar?oi=bibs&cluster=3657827838385959036&btnI=1&nossl=1&hl=en&oe=ASCII,"NAACL-HLT, 1662-1675"
2,Selective Encoding for Abstractive Sentence Summarization,"['Furu Wei', 'Ming Zhou', 'Nan Yang', 'Qingyu Zhou']",2017-04-24T07:57:37Z,2017-04-24T07:57:37Z,"We propose a selective encoding model to extend the sequence-to-sequenceframework for abstractive sentence summarization. It consists of a sentenceencoder, a selective gate network, and an attention equipped decoder. Thesentence encoder and decoder are built with recurrent neural networks. Theselective gate network constructs a second level sentence representation bycontrolling the information flow from encoder to decoder. The second levelrepresentation is tailored for sentence summarization task, which leads tobetter performance. We evaluate our model on the English Gigaword, DUC 2004 andMSR abstractive sentence summarization datasets. The experimental results showthat the proposed selective encoding model outperforms the state-of-the-artbaseline models.",['cs.CL'],160,http://arxiv.org/abs/1704.07073v1,http://scholar.google.com/scholar?oi=bibs&cluster=8387953750036922844&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 55th Annual Meeting of the Association for Computational …
3,Massive Exploration of Neural Machine Translation Architectures,"['Minh-Thang Luong', 'Quoc Le', 'Denny Britz', 'Anna Goldie']",2017-03-11T04:17:46Z,2017-03-21T20:34:59Z,"Neural Machine Translation (NMT) has shown remarkable progress over the pastfew years with production systems now being deployed to end-users. One majordrawback of current architectures is that they are expensive to train,typically requiring days to weeks of GPU time to converge. This makesexhaustive hyperparameter search, as is commonly done with other neural networkarchitectures, prohibitively expensive. In this work, we present the firstlarge-scale analysis of NMT architecture hyperparameters. We report empiricalresults and variance numbers for several hundred experimental runs,corresponding to over 250,000 GPU hours on the standard WMT English to Germantranslation task. Our experiments lead to novel insights and practical advicefor building and extending NMT architectures. As part of this contribution, werelease an open-source NMT framework that enables researchers to easilyexperiment with novel techniques and reproduce state of the art results.",['cs.CL'],299,http://arxiv.org/abs/1703.03906v2,http://scholar.google.com/scholar?oi=bibs&cluster=17797498583666145091&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 2017 Conference on Empirical Methods in Natural Language …
4,Self-Attention with Relative Position Representations,"['Ashish Vaswani', 'Peter Shaw', 'Jakob Uszkoreit']",2018-03-06T13:13:11Z,2018-04-12T18:51:33Z,"Relying entirely on an attention mechanism, the Transformer introduced byVaswani et al. (2017) achieves state-of-the-art results for machinetranslation. In contrast to recurrent and convolutional neural networks, itdoes not explicitly model relative or absolute position information in itsstructure. Instead, it requires adding representations of absolute positions toits inputs. In this work we present an alternative approach, extending theself-attention mechanism to efficiently consider representations of therelative positions, or distances between sequence elements. On the WMT 2014English-to-German and English-to-French translation tasks, this approach yieldsimprovements of 1.3 BLEU and 0.3 BLEU over absolute position representations,respectively. Notably, we observe that combining relative and absolute positionrepresentations yields no further improvement in translation quality. Wedescribe an efficient implementation of our method and cast it as an instanceof relation-aware self-attention mechanisms that can generalize to arbitrarygraph-labeled inputs.",['cs.CL'],265,http://arxiv.org/abs/1803.02155v2,http://scholar.google.com/scholar?oi=bibs&cluster=5563767891081728261&btnI=1&nossl=1&hl=en&oe=ASCII,"NAACL-HLT (2), 464-468"
5,SemEval-2017 Task 8: RumourEval: Determining rumour veracity and support  for rumours,"['Maria Liakata', 'Leon Derczynski', 'Arkaitz Zubiaga', 'Kalina Bontcheva', 'Rob Procter', 'Geraldine Wong Sak Hoi']",2017-04-20T01:21:20Z,2017-04-20T01:21:20Z,"Media is full of false claims. Even Oxford Dictionaries named ""post-truth"" asthe word of 2016. This makes it more important than ever to build systems thatcan identify the veracity of a story, and the kind of discourse there is aroundit. RumourEval is a SemEval shared task that aims to identify and handlerumours and reactions to them, in text. We present an annotation scheme, alarge dataset covering multiple topics - each having their own families ofclaims and replies - and use these to pose two concrete challenges as well asthe results achieved by participants on these challenges.","['cs.CL', 'cs.AI']",132,http://arxiv.org/abs/1704.05972v1,http://scholar.google.com/scholar?oi=bibs&cluster=6061353521973070542&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 11th International Workshop on Semantic Evaluation …
6,Very Deep Convolutional Networks for Text Classification,"['Holger Schwenk', 'Alexis Conneau', 'Yann Lecun', 'Loïc Barrault']",2016-06-06T15:14:50Z,2017-01-27T12:49:11Z,"The dominant approach for many NLP tasks are recurrent neural networks, inparticular LSTMs, and convolutional neural networks. However, thesearchitectures are rather shallow in comparison to the deep convolutionalnetworks which have pushed the state-of-the-art in computer vision. We presenta new architecture (VDCNN) for text processing which operates directly at thecharacter level and uses only small convolutions and pooling operations. We areable to show that the performance of this model increases with depth: using upto 29 convolutional layers, we report improvements over the state-of-the-art onseveral public text classification tasks. To the best of our knowledge, this isthe first time that very deep convolutional nets have been applied to textprocessing.","['cs.CL', 'cs.LG', 'cs.NE']",499,http://arxiv.org/abs/1606.01781v2,http://scholar.google.com/scholar?oi=bibs&cluster=10851201017229487169&btnI=1&nossl=1&hl=en&oe=ASCII,"EACL (1), 1107-1116"
7,End-to-End Relation Extraction using LSTMs on Sequences and Tree  Structures,"['Mohit Bansal', 'Makoto Miwa']",2016-01-05T08:53:05Z,2016-06-08T01:08:08Z,"We present a novel end-to-end neural model to extract entities and relationsbetween them. Our recurrent neural network based model captures both wordsequence and dependency tree substructure information by stacking bidirectionaltree-structured LSTM-RNNs on bidirectional sequential LSTM-RNNs. This allowsour model to jointly represent both entities and relations with sharedparameters in a single model. We further encourage detection of entities duringtraining and use of entity information in relation extraction via entitypretraining and scheduled sampling. Our model improves over thestate-of-the-art feature-based model on end-to-end relation extraction,achieving 12.1% and 5.7% relative error reductions in F1-score on ACE2005 andACE2004, respectively. We also show that our LSTM-RNN based model comparesfavorably to the state-of-the-art CNN based model (in F1-score) on nominalrelation classification (SemEval-2010 Task 8). Finally, we present an extensiveablation analysis of several model components.","['cs.CL', 'cs.LG']",487,http://arxiv.org/abs/1601.00770v3,http://scholar.google.com/scholar?oi=bibs&cluster=4226785540459330499&btnI=1&nossl=1&hl=en&oe=ASCII,Proceedings of the 54th Annual Meeting of the Association for Computational …
8,Context Gates for Neural Machine Translation,"['Zhengdong Lu', 'Hang Li', 'Zhaopeng Tu', 'Yang Liu', 'Xiaohua Liu']",2016-08-22T03:19:27Z,2017-03-08T07:14:27Z,"In neural machine translation (NMT), generation of a target word depends onboth source and target contexts. We find that source contexts have a directimpact on the adequacy of a translation while target contexts affect thefluency. Intuitively, generation of a content word should rely more on thesource context and generation of a functional word should rely more on thetarget context. Due to the lack of effective control over the influence fromsource and target contexts, conventional NMT tends to yield fluent butinadequate translations. To address this problem, we propose context gateswhich dynamically control the ratios at which source and target contextscontribute to the generation of target words. In this way, we can enhance boththe adequacy and fluency of NMT with more careful control of the informationflow from contexts. Experiments show that our approach significantly improvesupon a standard attention-based NMT system by +2.3 BLEU points.",['cs.CL'],77,http://arxiv.org/abs/1608.06043v3,http://scholar.google.com/scholar?oi=bibs&cluster=4677989351050388193&btnI=1&nossl=1&hl=en&oe=ASCII,"Transactions of the Association for Computational Linguistics 5, 87-99"
9,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual  Transfer and Beyond,"['Mikel Artetxe', 'Holger Schwenk']",2018-12-26T18:58:39Z,2019-09-25T13:16:12Z,"We introduce an architecture to learn joint multilingual sentencerepresentations for 93 languages, belonging to more than 30 different familiesand written in 28 different scripts. Our system uses a single BiLSTM encoderwith a shared BPE vocabulary for all languages, which is coupled with anauxiliary decoder and trained on publicly available parallel corpora. Thisenables us to learn a classifier on top of the resulting embeddings usingEnglish annotated data only, and transfer it to any of the 93 languages withoutany modification. Our experiments in cross-lingual natural language inference(XNLI dataset), cross-lingual document classification (MLDoc dataset) andparallel corpus mining (BUCC dataset) show the effectiveness of our approach.We also introduce a new test set of aligned sentences in 112 languages, andshow that our sentence embeddings obtain strong results in multilingualsimilarity search even for low-resource languages. Our implementation, thepre-trained encoder and the multilingual test set are available athttps://github.com/facebookresearch/LASER","['cs.CL', 'cs.AI', 'cs.LG']",138,http://arxiv.org/abs/1812.10464v2,http://scholar.google.com/scholar?oi=bibs&cluster=10327946384574259834&btnI=1&nossl=1&hl=en&oe=ASCII,"Transactions of the Association for Computational Linguistics 7, 597-610"
